closed_pct,direction,draw,feature,frame,gap,goal1_score,k,layer,method,n_features,rmse_to_target,scope,task_id
-3.369785585841867,inject,,,2,0.19350145757198334,,,-2,occ_features,29,0.20002204179763794,all,0
-3.369785585841867,inject,,,2,0.19350145757198334,,,-2,occ_features_uncapped,29,0.20002204179763794,all,0
-3.369785585841867,inject,,,2,0.19350145757198334,,,-2,occ_features_target_specific,29,0.20002204179763794,all,0
0.15311501615281609,inject,,,2,0.19350145757198334,,,-2,color_features,34,0.19320517778396606,all,0
-0.8500297597434869,inject,0,,2,0.19350145757198334,,,-2,random_same_norm,,0.19514627754688263,all,0
-0.4993661086076129,inject,0,,2,0.19350145757198334,,,-2,random_raw,,0.19446773827075958,all,0
0.009587496610685697,inject,1,,2,0.19350145757198334,,,-2,random_same_norm,,0.193482905626297,all,0
-0.5107786949345661,inject,1,,2,0.19350145757198334,,,-2,random_raw,,0.19448982179164886,all,0
-0.10262086733654474,inject,2,,2,0.19350145757198334,,,-2,random_same_norm,,0.19370003044605255,all,0
-0.6011629902916704,inject,3,,2,0.19350145757198334,,,-2,random_same_norm,,0.19466471672058105,all,0
-0.5291836081068757,inject,4,,2,0.19350145757198334,,,-2,random_same_norm,,0.19452543556690216,all,0
-0.30421242257712144,inject,5,,2,0.19350145757198334,,,-2,random_same_norm,,0.1940901130437851,all,0
0.01647201224920236,inject,6,,2,0.19350145757198334,,,-2,random_same_norm,,0.1934695839881897,all,0
-0.2546192674182324,inject,7,,2,0.19350145757198334,,,-2,random_same_norm,,0.19399414956569672,all,0
0.37602238715112035,inject,8,,2,0.19350145757198334,,,-2,random_same_norm,,0.19277384877204895,all,0
0.28520684696653475,inject,9,,2,0.19350145757198334,,,-2,random_same_norm,,0.192949578166008,all,0
-0.40663306910089236,inject,0,,2,0.19350145757198334,,,-2,random_same_norm_uncapped,,0.19428829848766327,all,0
-0.17664096165133092,inject,1,,2,0.19350145757198334,,,-2,random_same_norm_uncapped,,0.19384326040744781,all,0
-0.2211438876859706,inject,2,,2,0.19350145757198334,,,-2,random_same_norm_uncapped,,0.19392937421798706,all,0
52.01538419717191,inject,,,2,0.19350145757198334,,,-2,all_tc_features,36864,0.0928509309887886,all,0
60.59829213186882,inject,,,2,0.19350145757198334,,,-2,mlp_swap_ceiling,,0.07624287903308868,all,0
-3.000077855092953,inject,,,2,0.19350145757198334,,,-2,occ_features,,0.1993066519498825,bowl,0
31.69852783026943,inject,,,2,0.19350145757198334,,,-2,mlp_swap_ceiling,,0.1321643441915512,bowl,0
-0.50893050281684,inject,,,2,0.19350145757198334,,,-2,occ_features,,0.19448624551296234,nonbowl,0
35.77487341231633,inject,,,2,0.19350145757198334,,,-2,mlp_swap_ceiling,,0.1242765560746193,nonbowl,0
-5.289910880946169,remove,,,2,0.19350145757198334,,,-2,occ_features,,0.2037375122308731,all,0
-0.16169370789924642,remove,,,2,0.19350145757198334,,,-2,color_features,,0.19381433725357056,all,0
89.0983781498103,remove,,,2,0.19350145757198334,,,-2,mlp_swap_ceiling,,0.021094797179102898,all,0
0.06878354998123282,inject,,,2,0.19350145757198334,,50,-2,topk_oracle_50,,0.1933683604001999,all,0
-0.037179464768177795,inject,,,2,0.19350145757198334,,100,-2,topk_oracle_100,,0.19357340037822723,all,0
0.2710758780664513,inject,,,2,0.19350145757198334,,200,-2,topk_oracle_200,,0.1929769217967987,all,0
2.7094111405786547,inject,,,2,0.19350145757198334,,500,-2,topk_oracle_500,,0.18825870752334595,all,0
4.6578984838895,inject,,,2,0.19350145757198334,,1000,-2,topk_oracle_1000,,0.18448835611343384,all,0
11.600077716478552,inject,,,2,0.19350145757198334,,2000,-2,topk_oracle_2000,,0.1710551381111145,all,0
36.28046561812054,inject,,,2,0.19350145757198334,,5000,-2,topk_oracle_5000,,0.12329822778701782,all,0
-0.17456944631937255,inject,,,2,0.19350145757198334,,100,-2,topk_discovery_100,,0.19383925199508667,all,0
1.076872239792459,inject,,,2,0.19350145757198334,,500,-2,topk_discovery_500,,0.19141769409179688,all,0
2.692007331470103,inject,,,2,0.19350145757198334,,2000,-2,topk_discovery_2000,,0.18829238414764404,all,0
5.521443148493843,inject,,,2,0.19350145757198334,,5000,-2,topk_discovery_5000,,0.18281738460063934,all,0
0.10117311684432195,inject,,,2,0.19350145757198334,,500,-2,random_k_500,,0.19330568611621857,all,0
0.5336577731918646,inject,,,2,0.19350145757198334,,2000,-2,random_k_2000,,0.1924688220024109,all,0
-1.8912395924643999,inject,,,2,0.19350145757198334,,,5,occ_features,5,0.19716103374958038,all,0
-0.15437024663276233,inject,,,2,0.19350145757198334,,,5,color_features,,0.1938001662492752,all,0
8.9608593723709,inject,,,2,0.19350145757198334,,,5,mlp_swap_ceiling,,0.17616206407546997,all,0
0.0,inject,0,,2,0.19350145757198334,,,5,random_same_norm,,0.19350145757198334,all,0
0.11257030157028058,inject,1,,2,0.19350145757198334,,,5,random_same_norm,,0.19328363239765167,all,0
-0.5068358850834231,inject,,,2,0.19350145757198334,,,1,occ_features,3,0.19448219239711761,all,0
-0.025967099253998427,inject,,,2,0.19350145757198334,,,1,color_features,,0.193551704287529,all,0
9.329296471038873,inject,,,2,0.19350145757198334,,,1,mlp_swap_ceiling,,0.17544913291931152,all,0
0.0,inject,0,,2,0.19350145757198334,,,1,random_same_norm,,0.19350145757198334,all,0
-0.30612992189924526,inject,1,,2,0.19350145757198334,,,1,random_same_norm,,0.19409382343292236,all,0
-0.490333069632265,inject,,,2,0.19350145757198334,,,7,occ_features,5,0.1944502592086792,all,0
-0.2128963303606346,inject,,,2,0.19350145757198334,,,7,color_features,,0.19391341507434845,all,0
4.594905935877125,inject,,,2,0.19350145757198334,,,7,mlp_swap_ceiling,,0.1846102476119995,all,0
-0.07464385915452176,inject,0,,2,0.19350145757198334,,,7,random_same_norm,,0.1936458945274353,all,0
0.05498371550224368,inject,1,,2,0.19350145757198334,,,7,random_same_norm,,0.19339506328105927,all,0
-0.34794526856272157,inject,,1113,2,0.19350145757198334,38.155999163393496,,1,single_feature_1113,,0.19417473673820496,all,0
-0.4102909493338913,inject,,93,2,0.19350145757198334,31.892732724971566,,5,single_feature_93,,0.19429537653923035,all,0
-0.2528865873078656,inject,,564,2,0.19350145757198334,30.82558867525743,,1,single_feature_564,,0.1939907968044281,all,0
0.32493827446371526,inject,,,3,0.2574034035205841,,,-2,occ_features,29,0.25656700134277344,all,0
0.32493827446371526,inject,,,3,0.2574034035205841,,,-2,occ_features_uncapped,29,0.25656700134277344,all,0
0.32493827446371526,inject,,,3,0.2574034035205841,,,-2,occ_features_target_specific,29,0.25656700134277344,all,0
1.0352291442944805,inject,,,3,0.2574034035205841,,,-2,color_features,34,0.2547386884689331,all,0
0.5074779799757456,inject,0,,3,0.2574034035205841,,,-2,random_same_norm,,0.25609713792800903,all,0
0.10333419203950589,inject,0,,3,0.2574034035205841,,,-2,random_raw,,0.2571374177932739,all,0
0.19915422266347793,inject,1,,3,0.2574034035205841,,,-2,random_same_norm,,0.25689077377319336,all,0
-0.6073619099169036,inject,1,,3,0.2574034035205841,,,-2,random_raw,,0.2589667737483978,all,0
0.4728480003241886,inject,2,,3,0.2574034035205841,,,-2,random_same_norm,,0.25618627667427063,all,0
0.3373152213869912,inject,3,,3,0.2574034035205841,,,-2,random_same_norm,,0.256535142660141,all,0
0.5828164211635345,inject,4,,3,0.2574034035205841,,,-2,random_same_norm,,0.2559032142162323,all,0
-0.15720690862883746,inject,5,,3,0.2574034035205841,,,-2,random_same_norm,,0.25780805945396423,all,0
-0.03906437691219011,inject,6,,3,0.2574034035205841,,,-2,random_same_norm,,0.2575039565563202,all,0
0.16437372822238894,inject,7,,3,0.2574034035205841,,,-2,random_same_norm,,0.256980299949646,all,0
0.6940468506227537,inject,8,,3,0.2574034035205841,,,-2,random_same_norm,,0.2556169033050537,all,0
-0.7593934253982138,inject,9,,3,0.2574034035205841,,,-2,random_same_norm,,0.25935810804367065,all,0
0.28844422703419026,inject,0,,3,0.2574034035205841,,,-2,random_same_norm_uncapped,,0.25666093826293945,all,0
0.18874554606476135,inject,1,,3,0.2574034035205841,,,-2,random_same_norm_uncapped,,0.2569175660610199,all,0
-0.5015500128805916,inject,2,,3,0.2574034035205841,,,-2,random_same_norm_uncapped,,0.2586944103240967,all,0
39.11782124053131,inject,,,3,0.2574034035205841,,,-2,all_tc_features,36864,0.15671280026435852,all,0
85.8557098653761,inject,,,3,0.2574034035205841,,,-2,mlp_swap_ceiling,,0.03640788421034813,all,0
0.91356688211508,inject,,,3,0.2574034035205841,,,-2,occ_features,,0.255051851272583,bowl,0
34.95698460986277,inject,,,3,0.2574034035205841,,,-2,mlp_swap_ceiling,,0.16742293536663055,bowl,0
-0.24435497176400478,inject,,,3,0.2574034035205841,,,-2,occ_features,,0.2580323815345764,nonbowl,0
75.3729698594134,inject,,,3,0.2574034035205841,,,-2,mlp_swap_ceiling,,0.06339081376791,nonbowl,0
0.6020012677976472,remove,,,3,0.2574034035205841,,,-2,occ_features,,0.2558538317680359,all,0
-0.08088433227877445,remove,,,3,0.2574034035205841,,,-2,color_features,,0.25761160254478455,all,0
90.70860915650934,remove,,,3,0.2574034035205841,,,-2,mlp_swap_ceiling,,0.02391635626554489,all,0
-0.10992210859641638,inject,,,3,0.2574034035205841,,50,-2,topk_oracle_50,,0.2576863467693329,all,0
-0.1275670731530898,inject,,,3,0.2574034035205841,,100,-2,topk_oracle_100,,0.25773176550865173,all,0
-2.1924563145296005,inject,,,3,0.2574034035205841,,200,-2,topk_oracle_200,,0.26304686069488525,all,0
-2.7908799615608437,inject,,,3,0.2574034035205841,,500,-2,topk_oracle_500,,0.2645872235298157,all,0
